benchmark,baseline_time,optimized_time,optimization_time,total_optimized_time,equivalence_time,containment_time,baseline_props,optimized_props,original_count,optimized_count,reduction_percentage,mc_speedup,net_speedup,mc_improvement,net_improvement,overhead_ratio,time_saved_mc,time_saved_net,performance_category,size_category,baseline_avg_time,optimized_avg_time
elevator.5_000,3287.9806073359214,3297.6238893660484,0.0036461353302001,3297.6275355013786,0.002709150314331,0.0007545948028564,4,4,4.0,4.0,0.0,0.9970756877213245,0.9970745852702887,-0.293288896187878,-0.2933997890356662,1.1089284778824692e-06,-9.643282030127011,-9.646928165457211,Marginal Loss,Tiny,821.9951518339803,824.4059723415121
exit.3_000,4476.317056597443,3681.714342555497,224.41583061218265,3906.1301731676795,2.1556296348571777,222.2598602771759,306,219,306.0,219.0,28.431372549019606,1.2158241080404975,1.1459723199566005,17.751260779680855,12.737857399743186,0.0501340337993767,794.6027140419465,570.1868834297638,Strong Benefit,Large,14.62848711306354,16.811481016235145
brp.4_001,143.6892333049327,146.24458885996137,0.0035245418548583,146.24811340181623,0.0026166439056396,0.0007355213165283,4,4,4.0,4.0,0.0,0.982526836890522,0.9825031582468828,-1.778390416772397,-1.7808433088741864,2.4528921017893035e-05,-2.5553555550286546,-2.558880096883513,Marginal Loss,Tiny,35.92230832623318,36.56114721499034
driving_phils.2_000,0.2635029420489445,0.1053636190481484,0.003141164779663,0.1085047838278114,0.0021948814392089,0.0007753372192382,4,2,4.0,2.0,50.0,2.5008911465781236,2.4284914706350924,60.01425326455081,58.82217367893482,0.011920795856159901,0.15813932300079608,0.15499815822113308,Strong Benefit,Tiny,0.0658757355122361,0.0526818095240742
iprotocol.4_000,71.75136365694925,52.44603033014573,0.0102550983428955,52.45628542848863,0.005688190460205,0.0043733119964599,6,3,6.0,3.0,50.0,1.3680990382928353,1.3678315776812822,26.905876547663027,26.891583999312413,0.00014292548350615598,19.30533332680352,19.295078228460625,Strong Benefit,Small,11.958560609491542,17.482010110048577
driving_phils.5_000,2000.0,2000.0,0.0018260478973388,2000.0018260478973,0.0012803077697753,0.0003759860992431,2,2,2.0,2.0,0.0,1.0,0.9999990869768849,0.0,-9.130239486694336e-05,9.130239486694e-07,0.0,-0.0018260478973388672,Marginal Loss,Tiny,1000.0,1000.0
at.7_000,5000.0,4000.0,0.0030272006988525,4000.003027200699,0.0020914077758789,0.0007557868957519,5,4,5.0,4.0,20.0,1.25,1.2499990540004975,20.0,19.999939455986024,6.054401397705e-07,1000.0,999.9969727993011,Strong Benefit,Small,1000.0,1000.0
brp.1_000,0.1418901408324018,0.142341038910672,0.0035841464996337,0.14592518541030572,0.0026760101318359,0.0007281303405761,4,4,4.0,4.0,0.0,0.9968322693039133,0.9723485389683875,-0.3177797101511049,-2.8437807970534275,0.025260010869023186,-0.000450898078270201,-0.004035044577903907,Marginal Loss,Tiny,0.0354725352081004,0.035585259727668
rether.7_000,108.6873801141046,95.13294053310528,0.0099179744720458,95.14285850757733,0.0058040618896484,0.0039355754852294,10,8,10.0,8.0,20.0,1.1424789300640035,1.1423598346632455,12.471033496961,12.461908265989722,9.125230971280651e-05,13.554439580999315,13.544521606527269,Strong Benefit,Small,10.86873801141046,11.89161756663816
mcs.1_000,0.1390686290105804,0.0670352939050644,0.0066463947296142,0.0736816886346786,0.0047683715820312,0.0017178058624267,6,3,6.0,3.0,50.0,2.074558354402531,1.8874245635180402,51.79696932227302,47.01775004262617,0.04779219279646842,0.072033335105516,0.0653869403759018,Strong Benefit,Small,0.0231781048350967,0.0223450979683548
peterson.5_000,6331.959580921917,1938.9152432010744,0.0141160488128662,1938.9293592498873,0.0072269439697265,0.0067348480224609,9,3,9.0,3.0,66.66666666666666,3.2657227298229374,3.265698954278334,69.37890682304746,69.37868388971012,2.2293333734153335e-06,4393.044337720843,4393.03022167203,Strong Benefit,Small,703.5510645468797,646.3050810670247
szymanski.2_000,0.3138288600603118,0.2709236498922109,0.0029494762420654,0.2738731261342763,0.0020458698272705,0.0007150173187255,5,4,5.0,4.0,20.0,1.1583664260583049,1.1458914004817171,13.6715310885861,12.731695204308746,0.009398358842773633,0.042905210168100893,0.03995573392603552,Strong Benefit,Small,0.0627657720120623,0.0677309124730527
lann.7_000,4000.0,2000.0,0.0039153099060058,2000.003915309906,0.0026605129241943,0.0010755062103271,4,2,4.0,2.0,50.0,2.0,1.999996084697759,50.0,49.99990211725235,9.7882747650145e-07,2000.0,1999.996084690094,Strong Benefit,Tiny,1000.0,1000.0
bakery.5_000,244.0867608388653,75.93629658292048,0.0085375308990478,75.94483411381952,0.0043177604675292,0.0040309429168701,9,3,9.0,3.0,66.66666666666666,3.2143621933462194,3.214000842678111,68.88962911304719,68.88613136869198,3.497744355206499e-05,168.15046425594483,168.14192672504578,Strong Benefit,Small,27.120751204318367,25.31209886097349
at.3_000,38.21729199716356,16.50460179883521,0.0034065246582031,16.508008323493414,0.0022730827331542,0.0009629726409912,6,3,6.0,3.0,50.0,2.315553714229003,2.3150758860942977,56.8137852361173,56.804871667205994,8.913568911308338e-05,21.712690198328346,21.709283673670143,Strong Benefit,Small,6.369548666193926,5.50153393294507
bakery.3_000,0.5888863211730495,0.1920435079373419,0.0084576606750488,0.2005011686123907,0.0046308040618896,0.0036520957946777,9,3,9.0,3.0,66.66666666666666,3.0664213932458764,2.9370717649605615,67.38869608062976,65.95248328862581,0.014362127920039497,0.3968428132357076,0.3883851525606588,Strong Benefit,Small,0.0654318134636721,0.0640145026457806
elevator2.2_000,6.924923613085412,3.5613184380345047,0.0217516422271728,3.5830700802616775,0.0139808654785156,0.0075857639312744,11,5,11.0,5.0,54.54545454545454,1.9444831271272909,1.9326788083864868,48.572451668564284,48.25834506692509,0.0031410660163919578,3.3636051750509077,3.341853532823735,Strong Benefit,Small,0.7694359570094902,0.712263687606901
fischer.3_000,74.96550489810761,35.73093548906036,0.0058882236480712,35.73682371270843,0.0040400028228759,0.0016713142395019,6,3,6.0,3.0,50.0,2.098056036653717,2.0977103477567596,52.33683073618259,52.32897615872584,7.8545774567575e-05,39.23456940904725,39.22868118539918,Strong Benefit,Small,12.494250816351268,11.910311829686783
at.5_000,1196.9230519549455,98.1567863119999,0.0078198909759521,98.16460620297585,0.0042686462402343,0.0033762454986572,12,1,12.0,1.0,91.66666666666666,12.193991846375464,12.193020460756058,91.7992400470791,91.79858671427185,6.533328072493716e-06,1098.7662656429457,1098.7584457519697,Strong Benefit,Small,149.6153814943682,98.1567863119999
lann.1_000,4000.0,2000.0,0.0040266513824462,2000.0040266513824,0.0029463768005371,0.0009040832519531,4,2,4.0,2.0,50.0,2.0,1.9999959733567245,50.0,49.99989933371543,1.00666284561155e-06,2000.0,1999.9959733486176,Strong Benefit,Tiny,1000.0,1000.0
rether.4_000,23.69631195499096,20.72262221481651,0.0098259449005126,20.732448159717023,0.0056929588317871,0.0039587020874023,10,8,10.0,8.0,20.0,1.14349968403363,1.14295773332899,12.549166916027731,12.507700780203828,0.000414661358239042,2.97368974017445,2.9638637952739373,Strong Benefit,Small,2.369631195499096,2.590327776852064
mcs.6_000,6.321271837921813,2.9030079368967563,0.0066463947296142,2.9096543316263705,0.0044760704040527,0.0019879341125488,6,3,6.0,3.0,50.0,2.1774903738909845,2.1725164289149412,54.07557195244507,53.970428637934496,0.0010514331451056966,3.418263901025057,3.4116175062954426,Strong Benefit,Small,1.0535453063203022,0.9676693122989188
leader_filters.4_000,0.1389938910724595,0.1394467031350359,0.0014214515686035,0.1408681547036394,0.0009782314300537,0.0002894401550292,2,2,2.0,2.0,0.0,0.9967527947782464,0.9866949089017102,-0.32577839146927384,-1.3484503647738164,0.010226719733045514,-0.00045281206257641315,-0.001874263631179901,Marginal Loss,Tiny,0.0694969455362297,0.0697233515675179
lamport.2_000,1.3898280011489987,0.6335004750872031,0.0061144828796386,0.6396149579668416,0.0042927265167236,0.0016272068023681,6,3,6.0,3.0,50.0,2.1938862807603816,2.172913537805426,54.41878602507105,53.97884073151072,0.004399452935603279,0.7563275260617957,0.7502130431821571,Strong Benefit,Small,0.2316380001914998,0.2111668250290677
peterson.3_000,3.4372492220718414,1.113292018068023,0.0148875713348388,1.128179589402862,0.0081119537353515,0.0066127777099609,9,3,9.0,3.0,66.66666666666666,3.087464174976078,3.0467216871838243,67.61096021437243,67.17783563209773,0.0043312458227469305,2.3239572040038183,2.3090696326689795,Strong Benefit,Small,0.3819165802302046,0.3710973393560077
bakery.4_000,2.851997421006672,0.9047589299734682,0.008657693862915,0.9134166238363832,0.0046126842498779,0.0038723945617675,9,3,9.0,3.0,66.66666666666666,3.152218040103021,3.122340174878993,68.27630616671053,67.97274018873503,0.00303565977975502,1.947238491033204,1.9385807971702889,Strong Benefit,Small,0.3168886023340747,0.301586309991156
elevator.4_001,9.298981191124769,9.358561940840444,0.0038175582885742,9.362379499129018,0.0028104782104492,0.0007839202880859,4,4,4.0,4.0,0.0,0.9936335571541535,0.9932283979718888,-0.6407234135771833,-0.6817769248179396,0.00041053511240756076,-0.05958074971567484,-0.06339830800424906,Marginal Loss,Tiny,2.324745297781192,2.339640485210112
lann.4_000,4000.0,2000.0,0.0037827491760253,2000.003782749176,0.0026078224182128,0.0009984970092773,4,2,4.0,2.0,50.0,2.0,1.9999962172579786,50.0,49.9999054312706,9.45687294006325e-07,2000.0,1999.996217250824,Strong Benefit,Tiny,1000.0,1000.0
public_subscribe.5_000,5000.0,5000.0,0.003587007522583,5000.003587007523,0.0027024745941162,0.0007064342498779,5,5,5.0,5.0,0.0,1.0,0.9999992825990102,0.0,-7.174015045166015e-05,7.174015045166e-07,0.0,-0.003587007522583008,Marginal Loss,Small,1000.0,1000.0
leader_filters.5_000,6.643486579996534,6.55782210896723,0.0015547275543212,6.559376836521551,0.0010714530944824,0.0003254413604736,2,2,2.0,2.0,0.0,1.0130629452287467,1.012822825334058,1.2894505015971396,1.2660482182388417,0.00023402283358296648,0.08566447102930397,0.08410974347498268,Marginal Benefit,Tiny,3.321743289998267,3.278911054483615
brp.6_000,575.9723715911387,576.371606515022,0.0034296512603759,576.3750361662824,0.0025339126586914,0.0007264614105224,4,4,4.0,4.0,0.0,0.9993073306884472,0.9993013844287532,-0.06931494348946711,-0.06991039761704991,5.954541275827865e-06,-0.39923492388334125,-0.40266457514371723,Marginal Loss,Tiny,143.99309289778466,144.0929016287555
anderson.4_000,0.5878520121332258,0.1920870828907936,0.008446455001831,0.2005335378926246,0.0043191909790039,0.0039496421813964,9,3,9.0,3.0,66.66666666666666,3.0603411915388117,2.931439889361501,67.3239048389511,65.88707127752802,0.014368335614230688,0.39576492924243223,0.3873184742406012,Strong Benefit,Small,0.065316890237025,0.0640290276302645
elevator2.3_001,391.6419671898475,257.16594872204587,0.0208477973937988,257.18679651943967,0.0132999420166015,0.0073609352111816,11,6,11.0,6.0,45.45454545454545,1.5229153359379943,1.5227918870253705,34.336467930826906,34.33114475324627,5.323177580632691e-05,134.47601846780162,134.45517067040782,Strong Benefit,Small,43.51577413220528,42.86099145367431
elevator.3_000,3.671129244030453,3.666188013856299,0.0035262107849121,3.6697142246412113,0.0026123523712158,0.0007441043853759,4,4,4.0,4.0,0.0,1.0013477841713185,1.0003855938916824,0.13459700941306904,0.038544526634207266,0.0009605248277886152,0.004941230174153599,0.0014150193892414897,Marginal Benefit,Tiny,0.9177823110076132,0.9165470034640748
fischer.2_000,0.2871447409270331,0.1391989000840112,0.0060148239135742,0.1452137239975854,0.0040593147277832,0.0017640590667724,6,3,6.0,3.0,50.0,2.062837714620817,1.9773939612746778,51.52308914500255,49.42838809139607,0.020947010536064938,0.14794584084302193,0.14193101692944773,Strong Benefit,Small,0.0478574568211721,0.046399633361337
