Benchmark,Total_Formulas,Total_Classes,Single_Formula_Classes,Multi_Formula_Classes,Original_Count,Optimized_Count,Reduction_Percentage,Equivalence_Class_Time,Containment_Analysis_Time,Total_Time,Time_Per_Formula,Formulas_Reduced,Time_Per_Original_Formula,Efficiency_Score,Reduction_Category,Size_Category,Normalized_Time,Normalized_Reduction
bakery.4_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0046126842498779,0.0038723945617675,0.008657693862915,0.0009619659847683332,6.0,0.0009619659847683332,69.30251975876439,High (50-75%),Small (5-10),0.0009619659847683332,66.66666666666666
bakery.5_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0043177604675292,0.0040309429168701,0.0085375308990478,0.0009486145443386444,6.0,0.0009486145443386444,70.27793012929752,High (50-75%),Small (5-10),0.0009486145443386444,66.66666666666666
bakery.6_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0042695999145507,0.0039136409759521,0.0083601474761962,0.0009289052751329112,6.0,0.0009289052751329112,71.76906887209543,High (50-75%),Small (5-10),0.0009289052751329112,66.66666666666666
bakery.7_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0041277408599853,0.0040457248687744,0.0083582401275634,0.0009286933475070445,6.0,0.0009286933475070445,71.78544655846258,High (50-75%),Small (5-10),0.0009286933475070445,66.66666666666666
bakery.8_000,9.0,1.0,0.0,1.0,9.0,3.0,66.66666666666666,0.0045068264007568,0.004324197769165,0.0090007781982421,0.0010000864664713445,6.0,0.0010000864664713445,66.66090273363065,High (50-75%),Small (5-10),0.0010000864664713445,66.66666666666666
bopdp.1_000,8.0,2.0,0.0,2.0,8.0,8.0,0.0,0.0044224262237548,0.0007100105285644,0.0053048133850097,0.0006631016731262125,0.0,0.0006631016731262125,0.0,Zero,Small (5-10),0.0006631016731262125,0.0
bopdp.2_000,8.0,2.0,0.0,2.0,8.0,8.0,0.0,0.0044050216674804,0.0007338523864746,0.0053179264068603,0.0006647408008575375,0.0,0.0006647408008575375,0.0,Zero,Small (5-10),0.0006647408008575375,0.0
bopdp.3_000,8.0,2.0,0.0,2.0,8.0,8.0,0.0,0.004366397857666,0.0007266998291015,0.0052688121795654,0.000658601522445675,0.0,0.000658601522445675,0.0,Zero,Small (5-10),0.000658601522445675,0.0
bridge.3_000,429.0,1.0,0.0,1.0,429.0,345.0,19.58041958041958,3.794126749038696,3404.9321599006653,3408.726629018784,7.945749717992504,84.0,7.945749717992504,0.00246426332005919,Low (0-25%),Very Large (100+),7.945749717992504,19.58041958041958
brp.1_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026760101318359,0.0007281303405761,0.0035841464996337,0.000896036624908425,0.0,0.000896036624908425,0.0,Zero,Tiny (≤4),0.000896036624908425,0.0
brp.2_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026526451110839,0.0007886886596679,0.0036063194274902,0.00090157985687255,0.0,0.00090157985687255,0.0,Zero,Tiny (≤4),0.00090157985687255,0.0
brp.3_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0025806427001953,0.0007290840148925,0.0034847259521484,0.0008711814880371,0.0,0.0008711814880371,0.0,Zero,Tiny (≤4),0.0008711814880371,0.0
brp.4_000,60.0,1.0,0.0,1.0,60.0,54.0,10.0,0.4001133441925049,20.78914523124695,21.18956661224365,0.35315944353739415,6.0,0.35315944353739415,0.028315822167561983,Low (0-25%),Large (51-100),0.35315944353739415,10.0
brp.4_001,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026166439056396,0.0007355213165283,0.0035245418548583,0.000881135463714575,0.0,0.000881135463714575,0.0,Zero,Tiny (≤4),0.000881135463714575,0.0
brp.5_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026283264160156,0.0007133483886718,0.0035090446472167,0.000877261161804175,0.0,0.000877261161804175,0.0,Zero,Tiny (≤4),0.000877261161804175,0.0
brp.6_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0025339126586914,0.0007264614105224,0.0034296512603759,0.000857412815093975,0.0,0.000857412815093975,0.0,Zero,Tiny (≤4),0.000857412815093975,0.0
collision.4_000,27.0,1.0,0.0,1.0,27.0,25.0,7.4074074074074066,0.3026909828186035,21.77242350578308,22.07540345191956,0.8176075352562799,2.0,0.8176075352562799,0.009059857068325022,Low (0-25%),Medium (11-50),0.8176075352562799,7.4074074074074066
cyclic_scheduler.3_000,356.0,1.0,0.0,1.0,356.0,323.0,9.269662921348315,4.051352024078369,4843.514530181885,4847.566239595413,13.616759099987116,33.0,13.616759099987116,0.0006807539777476923,Low (0-25%),Very Large (100+),13.616759099987116,9.269662921348315
driving_phils.1_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0022380352020263,0.0007598400115966,0.0031824111938476,0.0007956027984619,2.0,0.0007956027984619,62.84543002697145,High (50-75%),Tiny (≤4),0.0007956027984619,50.0
driving_phils.2_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0021948814392089,0.0007753372192382,0.003141164779663,0.00078529119491575,2.0,0.00078529119491575,63.67064895635848,High (50-75%),Tiny (≤4),0.00078529119491575,50.0
driving_phils.3_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0012640953063964,0.0003943443298339,0.0018403530120849,0.00092017650604245,0.0,0.00092017650604245,0.0,Zero,Tiny (≤4),0.00092017650604245,0.0
driving_phils.4_000,4.0,1.0,0.0,1.0,4.0,2.0,50.0,0.0021424293518066,0.0007779598236083,0.0030906200408935,0.000772655010223375,2.0,0.000772655010223375,64.7119339659041,High (50-75%),Tiny (≤4),0.000772655010223375,50.0
driving_phils.5_000,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0012803077697753,0.0003759860992431,0.0018260478973388,0.0009130239486694,0.0,0.0009130239486694,0.0,Zero,Tiny (≤4),0.0009130239486694,0.0
elevator.1_000,4.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0026934146881103,0.0007641315460205,0.0036263465881347,0.000906586647033675,0.0,0.000906586647033675,0.0,Zero,Tiny (≤4),0.000906586647033675,0.0
